time,latitude,longitude,depth,ph
2025-02-15,57.00085,4.88864,1.5,8.007585545575187
2025-02-15,57.00085,4.88864,2.5,8.00750063913927
2025-02-15,57.00085,4.88864,5.0,8.007343820129659
2025-02-15,57.00085,4.88864,7.5,8.007214402328477
2025-02-15,57.00085,4.88864,10.0,8.007095396386383
2025-02-15,57.00085,4.88864,12.5,8.00698166693753
2025-02-15,57.00085,4.88864,15.0,8.006871514594774
2025-02-15,57.00085,4.88864,20.0,8.006656256807085
2025-02-15,57.00085,4.88864,25.0,8.006446436054961
2025-02-15,57.00085,4.88864,30.0,8.006240442710128
2025-02-15,57.00085,4.88864,40.0,8.00583366619245
2025-02-15,57.00085,4.88864,50.0,8.00541412155413
2025-02-15,57.00085,4.99975,0.5,8.005722045898438
2025-02-15,57.00085,4.99975,1.5,8.005609536614788
2025-02-15,57.00085,4.99975,2.5,8.005525602826198
2025-02-15,57.00085,4.99975,5.0,8.005367845240032
2025-02-15,57.00085,4.99975,7.5,8.005237879034517
2025-02-15,57.00085,4.99975,10.0,8.00511843350274
2025-02-15,57.00085,4.99975,12.5,8.005003829185267
2025-02-15,57.00085,4.99975,15.0,8.004893723288664
2025-02-15,57.00085,4.99975,20.0,8.004677391471413
2025-02-15,57.00085,4.99975,25.0,8.004464855753893
2025-02-15,57.00085,4.99975,30.0,8.0042548754164
2025-02-15,57.00085,4.99975,40.0,8.003838186362712
2025-02-15,57.00085,4.99975,50.0,8.003408376746444
2025-02-15,57.00085,5.11086,0.5,8.004706382751465
2025-02-15,57.00085,5.11086,1.5,8.004592918351397
2025-02-15,57.00085,5.11086,2.5,8.004508951515582
2025-02-15,57.00085,5.11086,5.0,8.004350193682619
2025-02-15,57.00085,5.11086,7.5,8.00421951571162
2025-02-15,57.00085,5.11086,10.0,8.004100324929524
2025-02-15,57.00085,5.11086,12.5,8.003985897421872
2025-02-15,57.00085,5.11086,15.0,8.00387458714678
2025-02-15,57.00085,5.11086,20.0,8.003658635923982
2025-02-15,57.00085,5.11086,25.0,8.003445669692388
2025-02-15,57.00085,5.11086,30.0,8.003235674910899
2025-02-15,57.00085,5.11086,40.0,8.002817336163284
2025-02-15,57.00085,5.11086,50.0,8.002374842187766
2025-02-15,57.00085,5.22197,0.5,8.005078315734863
2025-02-15,57.00085,5.22197,1.5,8.00496579685501
2025-02-15,57.00085,5.22197,2.5,8.004880854970178
2025-02-15,57.00085,5.22197,5.0,8.00472138586905
2025-02-15,57.00085,5.22197,7.5,8.004589741886301
2025-02-15,57.00085,5.22197,10.0,8.004469710208175
2025-02-15,57.00085,5.22197,12.5,8.004355379575172
2025-02-15,57.00085,5.22197,15.0,8.004244293244769
2025-02-15,57.00085,5.22197,20.0,8.004028073338365
2025-02-15,57.00085,5.22197,25.0,8.003815161536492
2025-02-15,57.00085,5.22197,30.0,8.003605295090395
2025-02-15,57.00085,5.22197,40.0,8.00318476456557
2025-02-15,57.00085,5.22197,50.0,8.002718750301794
2025-02-15,57.00085,5.33308,0.5,8.00543212890625
2025-02-15,57.00085,5.33308,1.5,8.005319619302115
2025-02-15,57.00085,5.33308,2.5,8.005235639686527
2025-02-15,57.00085,5.33308,5.0,8.005076148045635
2025-02-15,57.00085,5.33308,7.5,8.004944585253675
2025-02-15,57.00085,5.33308,10.0,8.004823524801461
2025-02-15,57.00085,5.33308,12.5,8.004709674621777
2025-02-15,57.00085,5.33308,15.0,8.004599305624343
2025-02-15,57.00085,5.33308,20.0,8.004383822694926
2025-02-15,57.00085,5.33308,25.0,8.0041728179786
2025-02-15,57.00085,5.33308,30.0,8.003964163071162
2025-02-15,57.00085,5.33308,40.0,8.003547129195596
2025-02-15,57.00085,5.33308,50.0,8.003077456408674
2025-02-15,57.00085,5.44419,0.5,8.00609493255615
2025-02-15,57.00085,5.44419,1.5,8.005982435949397
2025-02-15,57.00085,5.44419,2.5,8.0058993891609
2025-02-15,57.00085,5.44419,5.0,8.005739075000085
2025-02-15,57.00085,5.44419,7.5,8.00560657816312
2025-02-15,57.00085,5.44419,10.0,8.00548447757435
2025-02-15,57.00085,5.44419,12.5,8.00536960852403
2025-02-15,57.00085,5.44419,15.0,8.005258991783801
2025-02-15,57.00085,5.44419,20.0,8.005043689475695
2025-02-15,57.00085,5.44419,25.0,8.004831801234008
2025-02-15,57.00085,5.44419,30.0,8.004623491742931
2025-02-15,57.00085,5.44419,40.0,8.004209347065899
2025-02-15,57.00085,5.44419,50.0,8.003747318476421
2025-02-15,57.00085,5.5553,0.5,8.00711727142334
2025-02-15,57.00085,5.5553,1.5,8.007005732284464
2025-02-15,57.00085,5.5553,2.5,8.006922684085103
2025-02-15,57.00085,5.5553,5.0,8.006762403364315
2025-02-15,57.00085,5.5553,7.5,8.006629891972295
2025-02-15,57.00085,5.5553,10.0,8.006509030605196
2025-02-15,57.00085,5.5553,12.5,8.006395947833434
2025-02-15,57.00085,5.5553,15.0,8.006288500841702
2025-02-15,57.00085,5.5553,20.0,8.006080185222416
2025-02-15,57.00085,5.5553,25.0,8.005875692452992
2025-02-15,57.00085,5.5553,30.0,8.005675763905653
2025-02-15,57.00085,5.5553,40.0,8.005279180345244
2025-02-15,57.00085,5.5553,50.0,8.004845172914711
2025-02-15,57.00085,5.66641,0.5,8.009241104125975
2025-02-15,57.00085,5.66641,1.5,8.009128607100813
2025-02-15,57.00085,5.66641,2.5,8.00904555589636
2025-02-15,57.00085,5.66641,5.0,8.008884530619067
2025-02-15,57.00085,5.66641,7.5,8.008751169857979
2025-02-15,57.00085,5.66641,10.0,8.008630557199895
2025-02-15,57.00085,5.66641,12.5,8.008516779832659
2025-02-15,57.00085,5.66641,15.0,8.008409588155466
2025-02-15,57.00085,5.66641,20.0,8.008201370647555
2025-02-15,57.00085,5.66641,25.0,8.008000443011532
2025-02-15,57.00085,5.66641,30.0,8.007804308668554
2025-02-15,57.00085,5.66641,40.0,8.007411829533991
2025-02-15,57.00085,5.66641,50.0,8.006923747304507
2025-02-15,57.00085,5.77752,0.5,8.009799957275389
2025-02-15,57.00085,5.77752,1.5,8.009689372553824
2025-02-15,57.00085,5.77752,2.5,8.009607363136864
2025-02-15,57.00085,5.77752,5.0,8.009451367293702
2025-02-15,57.00085,5.77752,7.5,8.009320519409094
2025-02-15,57.00085,5.77752,10.0,8.00920221845135
2025-02-15,57.00085,5.77752,12.5,8.00909078489559
2025-02-15,57.00085,5.77752,15.0,8.008983912896221
2025-02-15,57.00085,5.77752,20.0,8.008778032485003
2025-02-15,57.00085,5.77752,25.0,8.008578350437691
2025-02-15,57.00085,5.77752,30.0,8.008382531592522
2025-02-15,57.00085,5.77752,40.0,8.007985824388081
2025-02-15,57.00085,5.77752,50.0,8.007493323991497
2025-02-15,57.00085,5.88863,0.5,8.009994506835938
2025-02-15,57.00085,5.88863,1.5,8.009884891619178
2025-02-15,57.00085,5.88863,2.5,8.00980380656283
2025-02-15,57.00085,5.88863,5.0,8.00964619623334
2025-02-15,57.00085,5.88863,7.5,8.009514437840972
2025-02-15,57.00085,5.88863,10.0,8.00939471514467
2025-02-15,57.00085,5.88863,12.5,8.009281676035972
2025-02-15,57.00085,5.88863,15.0,8.009171093920422
2025-02-15,57.00085,5.88863,20.0,8.008956364223582
2025-02-15,57.00085,5.88863,25.0,8.008738540096603
2025-02-15,57.00085,5.88863,30.0,8.00848896828711
